2018,2017,Institution Name,Country,Classification,,,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,Overall Score
,,,,SIZE,FOCUS,RESEARCH INTENSITY,AGE,STATUS,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,RANK,SCORE,RANK,
1,1,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT) ,United States,M,CO,VH,5,B,100,6,100,4,100,14,99.9,8,100,36,96.1,70,100
2,2,STANFORD UNIVERSITY,United States,L,FC,VH,5,B,100,5,100,5,100,12,99.4,12,99.6,54,72.7,177,98.7
3,3,HARVARD UNIVERSITY,United States,L,FC,VH,5,B,100,1,100,3,98.3,38,99.9,9,96.5,103,75.2,165,98.4
4,5,CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH),United States,S,CO,VH,5,B,99.5,22,85.4,77,100,3,100,4,93.4,126,89.2,106,97.7
5,4,UNIVERSITY OF CAMBRIDGE,United Kingdom,L,FC,VH,5,A,100,2,100,1,100,10,78.3,75,97.4,87,97.7,57,95.6
6,6,UNIVERSITY OF OXFORD,United Kingdom,L,FC,VH,5,A,100,4,100,2,100,6,76.3,81,98.6,68,98.5,50,95.3
7,7,UCL (UNIVERSITY COLLEGE LONDON),United Kingdom,XL,FC,VH,5,A,99.7,16,99.5,18,99.1,35,74.7,88,96.6,102,100,20,94.6
8,9,IMPERIAL COLLEGE LONDON,United Kingdom,L,FC,VH,5,A,99.4,23,100,8,100,18,68.7,117,100,42,100,12,93.7
9,10,UNIVERSITY OF CHICAGO,United States,L,FC,VH,5,B,99.9,13,92.9,55,96.5,52,85.9,48,71.9,218,79.8,149,93.5
10,8,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),Switzerland,L,CO,VH,5,A,99.6,21,99.4,23,68.2,178,98.7,17,100,14,98.8,47,93.3
11,13,NANYANG TECHNOLOGICAL UNIVERSITY (NTU),Singapore,L,FC,VH,3,A,93.9,50,96.6,38,93.6,60,83.3,57,100,19,88.2,108,92.2
12,14,ECOLE POLYTECHNIQUE F…D…RALE DE LAUSANNE (EPFL),Switzerland,M,FO,VH,5,A,83,73,95.5,42,92,71,99.2,14,100,13,100,11,91.2
13,11,PRINCETON UNIVERSITY,United States,M,CO,VH,5,B,100,9,97.3,33,70.9,163,100,5,67.4,229,70.8,188,91
14,16,CORNELL UNIVERSITY,United States,L,FC,VH,5,B,99.6,20,93.7,51,67.4,181,96.2,25,92.2,132,79.2,155,90.7
15,12,NATIONAL UNIVERSITY OF SINGAPORE (NUS),Singapore,XL,FC,VH,5,A,100,11,99.9,11,88.8,81,66.2,128,100,27,86.1,121,90.5
16,15,YALE UNIVERSITY,United States,L,FC,VH,5,B,100,10,99.8,13,100,4,63.2,141,90.7,141,61.7,231,90.4
17,17,JOHNS HOPKINS UNIVERSITY,United States,L,FC,VH,5,B,94.3,45,66.4,142,100,11,83.9,52,87.9,157,81.3,142,89.8
18,20,COLUMBIA UNIVERSITY,United States,L,FC,VH,5,B,99.9,12,98.1,29,100,17,62.3,148,34.7,374,94.9,80,88.9
